Date,Open_M,High_M,Low_M,Close_M,Adj Close_M,Volume_M,Open_V,High_V,Low_V,Close_V,Adj Close_V,Volume_V
2008-06-02,30.926001,32.0,30.257,32.0,29.529486,50620000,21.5525,21.737499,21.15,21.5175,19.202324,36856000
2008-06-03,31.386999,31.399,30.235001,30.74,28.366755,93913000,21.752501,21.987499,21.5075,21.889999,19.534735,48411600
2008-06-04,30.745001,30.959999,29.454,29.74,27.443956,66160000,21.77,22.025,21.32,21.370001,19.070698,40684400
2008-06-05,29.951,30.615999,29.544001,30.615999,28.252338,45959000,21.615,21.809999,21.397499,21.809999,19.463354,27059600
2008-06-06,30.228001,30.242001,29.481001,29.573,27.289856,29383000,21.475,21.497499,20.887501,20.9125,18.662413,41748000
2008-06-09,29.709999,29.886,27.641001,29.139999,26.890287,55137000,21.0,21.237499,20.139999,20.535,18.325535,45240000
2008-06-10,28.524,29.541,28.337,28.605,26.396585,26190000,20.075001,20.717501,19.9025,20.077499,17.917259,36048400
2008-06-11,28.743999,28.802,27.716,27.921,25.765392,23577000,20.25,20.25,19.4,19.434999,17.343885,56996400
2008-06-12,28.219999,28.968,28.187,28.440001,26.244328,31296000,19.737499,20.192499,19.637501,19.889999,17.749931,44605600
2008-06-13,28.620001,29.372999,28.620001,29.246,26.988104,21436000,20.065001,20.452499,20.0375,20.3825,18.189445,30689200
2008-06-16,29.198999,29.9,28.9,29.447001,27.173586,17072000,20.370001,20.875,20.275,20.817499,18.577642,34384000
2008-06-17,29.983999,29.983999,29.033001,29.221001,26.965042,15706000,21.025,21.245001,20.92,21.1675,18.889975,33277600
2008-06-18,29.1,29.481001,28.544001,29.309,27.046242,18943000,20.93,21.174999,20.860001,20.965,18.70927,33724000
2008-06-19,29.259001,29.780001,28.858,29.26,27.001019,24155000,20.870001,21.1,20.405001,21.067499,18.800743,36925200
2008-06-20,29.0,29.447001,28.301001,28.400999,26.20834,26934000,20.7425,21.125,20.6875,20.8925,18.644567,42546800
2008-06-23,28.552999,28.922001,28.0,28.252001,26.070854,18468000,20.9625,21.0875,20.254999,20.264999,18.084591,30141200
2008-06-24,28.122,28.375,27.52,28.037001,25.872448,33647000,20.014999,20.735001,19.627501,20.665001,18.441547,49891200
2008-06-25,29.110001,29.516001,28.75,28.979,26.741714,38692000,20.84,21.105,20.465,20.514999,18.307697,50711600
2008-06-26,28.551001,28.594,26.801001,27.573,25.44426,47652000,20.15,20.184999,19.504999,19.775,17.647303,76562800
2008-06-27,27.500999,27.797001,26.704,27.172001,25.074221,39815000,19.700001,20.717501,19.637501,20.65,18.428164,176022800
2008-06-30,27.299999,27.65,26.540001,26.552,24.502085,27996000,20.502501,20.709999,20.075001,20.327499,18.14036,49301200
2008-07-01,26.25,27.077999,25.85,26.334999,24.30184,42526000,19.91,20.352501,19.799999,20.352501,18.162672,44921600
2008-07-02,26.684999,26.938,25.1,25.549,23.576523,40692000,20.475,20.6,19.825001,19.855,17.718697,33804000
2008-07-03,25.813,25.98,25.049999,25.374001,23.415031,15778000,19.84,19.952499,19.3125,19.5175,17.417513,28738800
2008-07-07,25.679001,25.910999,24.334,24.610001,22.710016,40381000,19.625,19.985001,18.5,18.905001,16.870913,79944400
2008-07-08,24.796,26.499001,23.742001,26.424999,24.384892,66434000,18.7225,19.875,18.0625,19.764999,17.638378,95796400
2008-07-09,26.243999,26.49,24.965,25.125,23.198425,34122000,19.75,19.775,18.85,18.967501,16.926695,55322000
2008-07-10,25.200001,25.801001,24.503,25.32,23.378475,38299000,18.940001,19.405001,18.4725,19.3125,17.234568,52812000
2008-07-11,25.569,26.098,25.325001,25.735001,23.761654,53063000,18.9,19.362499,18.5,18.637501,16.632193,54645200
2008-07-14,26.299999,26.337,25.323,25.75,23.775503,30862000,19.022499,19.045,18.125,18.145,16.192684,42679600
2008-07-15,25.5,25.9,24.27,25.037001,23.117182,47649000,17.815001,17.827499,16.8225,17.105,15.264589,84268800
2008-07-16,25.287001,27.120001,25.082001,27.120001,25.040451,69679000,17.0825,18.139999,16.627501,18.057501,16.114594,92448800
2008-07-17,27.495001,29.096001,27.299999,28.6,26.406969,178722000,18.424999,18.764999,17.8375,18.764999,16.745974,67268800
2008-07-18,28.538,28.816,27.9,28.086,25.932375,44996000,18.559999,18.622499,18.030001,18.35,16.375631,46632000
2008-07-21,28.414,28.465,26.673,26.790001,24.735758,47389000,18.477501,18.735001,17.8925,17.975,16.040974,52937200
2008-07-22,25.9,27.487,25.452999,27.385,25.285133,58522000,17.4,18.557501,16.975,18.512501,16.520645,65408000
2008-07-23,27.473,27.652,26.811001,27.1,25.021988,33621000,18.375,18.75,18.15,18.3125,16.342161,49942800
2008-07-24,27.013,27.384001,25.700001,25.848,23.865986,36463000,18.23,18.432501,17.49,17.52,15.634932,36625600
2008-07-25,25.907,26.542999,25.5,26.355,24.334112,35026000,17.635,18.0875,17.2675,17.99,16.054359,38690800
2008-07-28,26.49,26.947001,25.26,25.370001,23.424643,33925000,18.102501,18.4,17.5625,17.637501,15.739791,35699200
2008-07-29,25.503,26.353001,25.503,26.209999,24.200233,33567000,17.7575,18.9925,17.752501,18.9925,16.949001,49040400
2008-07-30,26.799,27.200001,26.115,27.073,24.997059,39491000,19.3125,19.725,18.567499,19.612499,17.502293,76089200
2008-07-31,24.669001,25.618,23.747999,24.415001,22.542873,160568000,19.055,19.5375,17.872499,18.264999,16.29977,148888800
2008-08-01,24.047001,24.264999,22.549,23.726999,21.907621,111075000,18.325001,18.525,17.5875,17.932501,16.003048,61715600
2008-08-04,23.299,24.0,22.912001,23.091999,21.321316,41515000,17.940001,18.4,17.875,18.125,16.174843,42686000
2008-08-05,23.281,23.711,23.049999,23.711,21.892851,37083000,18.299999,18.557501,18.08,18.4,16.420246,34354800
2008-08-06,23.5,23.584999,22.702,23.200001,21.421034,45159000,18.200001,18.202499,17.7675,17.870001,15.947276,40924000
2008-08-07,22.693001,22.938,22.5,22.5,20.774708,34699000,17.695,17.8125,17.334999,17.375,15.505537,43847200
2008-08-08,22.495001,23.51,22.1,23.212999,21.433035,37477000,17.442499,18.2125,17.2775,18.15,16.197151,36354400
2008-08-11,23.257,24.035,23.201,23.514999,21.71188,33941000,18.110001,19.125,17.987499,18.6975,16.68574,55289200
2008-08-12,23.299999,23.431999,22.878,23.091999,21.321316,23156000,18.549999,18.700001,18.15,18.200001,16.241768,33734400
2008-08-13,22.881001,23.715,22.791,23.35,21.559526,23760000,18.1875,18.5425,18.120001,18.4825,16.517689,29924800
2008-08-14,23.202999,23.764999,23.1,23.587999,21.779278,18220000,18.467501,18.9475,18.4,18.945,16.93103,25839200
2008-08-15,23.691,24.0,23.58,23.895,22.062748,21072000,18.997499,19.1325,18.7075,18.9475,16.933268,26003200
2008-08-18,24.055,24.49,23.639999,23.791,21.966721,26162000,18.905001,19.0625,18.535,18.735001,16.743357,25850400
2008-08-19,23.9,24.291,23.32,23.857,22.027655,23806000,18.612499,18.809999,18.4025,18.434999,16.475248,21104800
2008-08-20,23.957001,24.399,23.856001,24.332001,22.466232,18713000,18.525,18.6775,18.415001,18.6425,16.660688,18118800
2008-08-21,24.160999,24.273001,23.76,24.125999,22.276037,15150000,18.49,18.66,18.297501,18.594999,16.618238,15544800
2008-08-22,24.357,24.469,24.025,24.164,22.311113,14534000,18.84,18.9475,18.459999,18.522499,16.55345,20955600
2008-08-25,24.004,24.284,23.42,23.42,21.624168,12574000,18.379999,18.7225,18.282499,18.33,16.381411,18039600
2008-08-26,23.51,23.763,23.157,23.674999,21.859615,15516000,18.4175,18.575001,18.217501,18.334999,16.385872,18667200
2008-08-27,23.576,23.726,23.232,23.697001,21.87993,17120000,18.2575,18.625,18.2125,18.612499,16.633875,19141600
2008-08-28,23.75,24.247999,23.657,24.247999,22.388676,19125000,18.6875,18.952499,18.5425,18.9125,16.901985,26741200
2008-08-29,24.1,24.34,23.962999,24.254999,22.395145,13108000,18.74,19.0,18.674999,18.975,16.95784,19326400
2008-09-02,24.587999,24.799999,23.663,23.92,22.085823,19330000,19.2075,19.375,18.5975,18.747499,16.754524,29898400
2008-09-03,23.9,24.002001,22.385,22.962999,21.202204,37675000,18.639999,18.834999,18.0175,18.262501,16.321087,35400800
2008-09-04,22.580999,22.704,21.469999,21.603001,19.946497,38979000,18.129999,18.157499,17.4375,17.625,15.751351,37670000
2008-09-05,21.294001,22.169001,20.792999,22.143999,20.446011,54677000,17.4925,17.995001,17.3125,17.940001,16.032869,40616800
2008-09-08,23.035999,23.1,21.139999,21.941,20.258579,43685000,18.377501,18.5725,17.17,17.525,15.661985,56669600
